Director (1),AVERAGE of Box Office Revenue ($),AVERAGE of Budget ($),Average Profit
Peter Pau,"$64,470,000.00","$30,000,000.00","$34,470,000.00"
Levan Gabriadze,"$64,100,000.00","$1,000,000.00","$63,100,000.00"
Andrew Niccol,"$63,300,000.00","$40,000,000.00","$23,300,000.00"
Fede Alvarez,"$62,900,000.00","$13,450,000.00","$49,450,000.00"
John Crowley,"$62,100,000.00","$11,000,000.00","$51,100,000.00"
Lasse Hallström,"$61,750,000.00","$18,200,000.00","$43,550,000.00"
Simon Curtis,"$61,600,000.00","$11,000,000.00","$50,600,000.00"
Michael Dougherty,"$61,500,000.00","$15,000,000.00","$46,500,000.00"
Renny Harlin,"$61,300,000.00","$70,000,000.00","-$8,700,000.00"
David M. Rosenthal,"$60,300,000.00","$18,000,000.00","$42,300,000.00"
Richard LaGravenese,"$60,100,000.00","$60,000,000.00","$100,000.00"
Adam Shankman,"$59,400,000.00","$75,000,000.00","-$15,600,000.00"
Joel Edgerton,"$59,000,000.00","$5,000,000.00","$54,000,000.00"
Scott Frank,"$58,800,000.00","$28,000,000.00","$30,800,000.00"
Woody Allen,"$58,633,333.33","$15,266,666.67","$43,366,666.67"
Ric Roman Waugh,"$57,800,000.00","$15,000,000.00","$42,800,000.00"
Charles Martin Smith,"$57,800,000.00","$36,000,000.00","$21,800,000.00"
Jay Roach,"$56,550,000.00","$55,000,000.00","$1,550,000.00"
Ben Stiller,"$56,000,000.00","$50,000,000.00","$6,000,000.00"
Theodore Melfi,"$54,800,000.00","$13,000,000.00","$41,800,000.00"
Bobby Farrelly,"$54,800,000.00","$30,000,000.00","$24,800,000.00"
Sam Miller,"$54,300,000.00","$13,200,000.00","$41,100,000.00"
Ciaran Foy,"$52,900,000.00","$10,000,000.00","$42,900,000.00"
Jean-Marc Vallée,"$52,500,000.00","$15,000,000.00","$37,500,000.00"
Michael J. Bassett,"$52,300,000.00","$20,000,000.00","$32,300,000.00"
Anne Fletcher,"$51,700,000.00","$35,000,000.00","$16,700,000.00"
Anthony Hemingway,"$50,400,000.00","$58,000,000.00","-$7,600,000.00"
Peter Landesman,"$50,300,000.00","$57,000,000.00","-$6,700,000.00"
Dan Gilroy,"$50,300,000.00","$8,500,000.00","$41,800,000.00"
Doug Ellin,"$49,300,000.00","$39,000,000.00","$10,300,000.00"
Patricia Riggen,"$49,250,000.00","$19,500,000.00","$29,750,000.00"
